  1 1 003 0R GpsL1CA  #  3	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111110100011011100111011010111100111001101111101011000000000000001010000100111100010101000000110011001010101001101000111110000100000100111100011000010001100101000110010111001111111111010100011001101001110000010111111001011101000111000
  1 1 004 0R GpsL1CA  #  4	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111111100000001000110000011010010000001100111101000111000000000001011000100111111101001011010001100110110100010100000101100100110110000011001111001000011000001101101011101011111111111010101101111110010011010011000001011001100111100011
  1 1 006 0R GpsL1CA  #  6	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100000000000010001110110001100000110101101111011101010111001110111111111111100100101000001110001011001001100110111010100110001011110111010011011000100111110111111111110100101000100010111111111010010111111000101110010101101111111101110100011111
  1 1 009 0R GpsL1CA  #  9	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111111001100000110100100010000010000010000011010011000000000000011100000100110000011111001000011011100010000011000000101010101010101001100100010001010101010101110000101000011111111111010101000110111101010000111100001001101011110111000
  1 1 001 0R GpsL1CA  #  1	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111100000110110010101010001011011101111110110110110100000000000011110100101000001011001100110001001101101010000001001011100111111100100011000111111010111101100111000111011011111111111010010000100011010001000101111111101011010111011111
  1 1 007 0R GpsL1CA  #  7	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111101110100110001000001111010111001110001100100101000111111110110010100100110100011101110110101011011011011010111001000011110000110100010110111101001101111011000111010110110111111111010100001011111100001001000110000010110011110000111
  1 1 016 0R GpsL1CA  # 16	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100000000000010010101100000101010000001110011101000010001011101000000000110001100100111001110100010000000110100110101001100000110011011011000011100100000110110010101011001110101000101111111111010100100000101000010000101001110111001011001010000
  1 1 019 0R GpsL1CA  # 19	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111111110001010001011111010010110011000001111111000000010111111111100110000100111011100111000101001001111011111000010000111100000101101010001010110110011100000101010000110011111111111111010100010011101111001001001100000011111011110010000
  1 1 021 0R GpsL1CA  # 21	     16091   2   5   3 100010111010101010101010001010000111111010010110001101010100111111110110001110101110110010011110010100010101111010111111000000010000100000100111010100000101010101001010000010100001001011000101011111010111111011000000001010111001011110001100111111111010010100100111010100000000100000010001110101111011
  1 1 003 0R GpsL1CA  #  3	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101000000100111011000010110001011011011001011100000000001111111101101001010001111100000011100111111011101011
  1 1 004 0R GpsL1CA  #  4	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000010111111001010101010101010101010010110101010101010101010101010010101101010101010101010101010010101101010101010101011110111000101010011000001011011011010010111000000000000000000010100100111111001110010001100010010101100
  1 1 006 0R GpsL1CA  #  6	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101000001000100110010101100001011011011010111110000000000000000001101001000111000110100101001000001100110000
  1 1 009 0R GpsL1CA  #  9	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101000000011000110000111100001011011011010100101000000000000000000001110010001110100011001000011010011010111
  1 1 026 0R GpsL1CA  # 26	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101000001111011011000010010001011011011010110000000000000000000000011100110001000101111111110101011011001011
  1 1 001 0R GpsL1CA  #  1	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101000001011010000000101110001010100011000001110000000001111111110101100110100001110001010010010011100010111
  1 1 007 0R GpsL1CA  #  7	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101011101000101011001000110001100010011100111110000000000000000000011000010011001010001010011000010000101111
  1 1 016 0R GpsL1CA  # 16	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101011101010001110000101000001100010011100010000000000001111111111010101011111110000101000000111000010111100
  1 1 019 0R GpsL1CA  # 19	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101011011110110000001001100001011011011010000100000000000000000000101100000100000011111000110000110111000011
  1 1 021 0R GpsL1CA  # 21	     16094   0   5   1 100010111010101010101010001010000111111010011100000100101000001001010101000000000000011010001010101010101010101010111111101010101010101010101010111100101010101010101010101010111100101010101010101011101010001110000000100001011011011001010111000000000000000000000110101110000101001011010101100100011100
  1 1 003 0R GpsL1CA  #  3	     16095   1   5   2 100010111010101010101010001010000111111010011110001001000000000010111111000000010101100001001011001111111100100010001001011110001001000111000110011110111100100001101100000001001101111111100010011000110000110111000011101101100010100001001111000011011000000111011111001111000101101101100100000011101000
  1 1 004 0R GpsL1CA  #  4	     16095   1   5   2 100010111010101010101010001010000111111010011110001001000000010011001111111000100111111001001011101101110010011010110110010100010110111111001100000101111111100100111000000000101101110111100100000010001101100010000101100000101010100001010110000011010011110011101110000011000101101101101000000001011100
  1 1 009 0R GpsL1CA  #  9	     16095   1   5   2 100010111010101010101010001010000111111010011110001001000000000111101111110100100001110100001100001100110110111100000000101100010100101000100101000000111111010111001000000001001010001010000011010010001001101001000101100110011010100001000111000011001111111110001010110010000101101101101000000011010000
